時間time,太陽能PV(度),風能WP(度),負載load(度)
2022/10/1 00:00,0,343.8711419,1005.5
2022/10/1 00:15,0,344.5426705,993.5
2022/10/1 00:30,0,346.2195839,996
2022/10/1 00:45,0,341.3392291,993.5
2022/10/1 01:00,0,335.0641912,981.5
2022/10/1 01:15,0,335.7897603,981.5
2022/10/1 01:30,0,340.3449644,979
2022/10/1 01:45,0,347.498098,974.25
2022/10/1 02:00,0,351.5954744,976.75
2022/10/1 02:15,0,350.3549274,976.75
2022/10/1 02:30,0,341.4614066,972
2022/10/1 02:45,0,345.0193277,979
2022/10/1 03:00,0,346.4391992,969.5
2022/10/1 03:15,0,349.2759526,967
2022/10/1 03:30,0,344.8654335,962.25
2022/10/1 03:45,0,367.4526098,972
2022/10/1 04:00,0,421.3082901,969.5
2022/10/1 04:15,0,455.600009,981.5
2022/10/1 04:30,0,463.9138181,979
2022/10/1 04:45,0,466.2852444,979
2022/10/1 05:00,0,456.5767941,976.75
2022/10/1 05:15,0,410.3004028,976.75
2022/10/1 05:30,0,367.5551617,976.75
2022/10/1 05:45,0,359.4645489,974.25
2022/10/1 06:00,0.494173487,358.5411753,986.25
2022/10/1 06:15,10.36790383,351.7515964,998.25
2022/10/1 06:30,33.20738796,350.751743,1000.75
2022/10/1 06:45,65.60183145,349.3144941,1005.5
2022/10/1 07:00,107.7910763,347.4866892,1015
2022/10/1 07:15,157.3399254,345.4357032,1029.5
2022/10/1 07:30,229.8931546,345.7156434,1056
2022/10/1 07:45,301.1471085,348.1410794,1058.25
2022/10/1 08:00,324.1263471,350.8063193,1080
2022/10/1 08:15,365.1849946,349.5645684,1099
2022/10/1 08:30,461.4753682,349.6284367,1094.25
2022/10/1 08:45,512.7603827,345.8916228,1101.5
2022/10/1 09:00,594.2814335,379.1165721,1096.75
2022/10/1 09:15,696.2663335,519.8472592,1116
2022/10/1 09:30,760.287592,510.2770728,1137.5
2022/10/1 09:45,781.2066791,499.4489087,1132.75
2022/10/1 10:00,814.3414586,501.3214129,1130.25
2022/10/1 10:15,820.2661506,514.1929511,1147
2022/10/1 10:30,821.6212013,540.3024163,1147
2022/10/1 10:45,837.0414442,551.8795742,1149.5
2022/10/1 11:00,883.4821769,547.5634515,1154.25
2022/10/1 11:15,882.6994582,543.7850023,1152
2022/10/1 11:30,892.7293363,531.6362633,1152
2022/10/1 11:45,899.1111256,524.6066861,1168.75
2022/10/1 12:00,913.7450609,525.4557105,1171
2022/10/1 12:15,858.8273688,515.9234998,1144.75
2022/10/1 12:30,794.1101232,512.5662139,1154.25
2022/10/1 12:45,768.6419848,503.5181313,1142.25
2022/10/1 13:00,754.982663,505.9391198,1156.75
2022/10/1 13:15,698.8028031,472.0179182,1149.5
2022/10/1 13:30,638.1921912,463.6653332,1152
2022/10/1 13:45,569.2889424,465.6643221,1147
2022/10/1 14:00,535.2464776,463.2898001,1147
2022/10/1 14:15,485.8393746,471.3405109,1128
2022/10/1 14:30,436.1063462,469.998761,1135
2022/10/1 14:45,366.3672365,476.9402996,1156.75
2022/10/1 15:00,312.7834494,491.6516206,1135
2022/10/1 15:15,244.50107,491.2848125,1116
2022/10/1 15:30,191.4435,488.3586504,1123
2022/10/1 15:45,153.9009865,486.8614749,1120.75
2022/10/1 16:00,118.657903,485.9171558,1116
2022/10/1 16:15,82.83922559,484.7748004,1108.75
2022/10/1 16:30,49.31668438,486.6849638,1101.5
2022/10/1 16:45,26.50632123,482.2432605,1135
2022/10/1 17:00,13.86193161,479.6165152,1125.5
2022/10/1 17:15,7.487121364,487.0448841,1104
2022/10/1 17:30,1.209017741,486.829393,1104
2022/10/1 17:45,0,522.6834899,1084.75
2022/10/1 18:00,0,526.9279854,1070.25
2022/10/1 18:15,0,526.7553164,1065.5
2022/10/1 18:30,0,528.9813389,1080
2022/10/1 18:45,0,530.1573644,1077.5
2022/10/1 19:00,0,534.8900746,1070.25
2022/10/1 19:15,0,540.269843,1070.25
2022/10/1 19:30,0,544.0342639,1056
2022/10/1 19:45,0,542.8980257,1051
2022/10/1 20:00,0,579.606927,1041.5
2022/10/1 20:15,0,603.1479238,1039
2022/10/1 20:30,0,610.4399956,1041.5
2022/10/1 20:45,0,612.5450242,1048.75
2022/10/1 21:00,0,615.1631393,1051
2022/10/1 21:15,0,601.9401003,1036.75
2022/10/1 21:30,0,616.7784669,1044
2022/10/1 21:45,0,617.5772089,1041.5
2022/10/1 22:00,0,621.9152904,1051
2022/10/1 22:15,0,620.1933964,1048.75
2022/10/1 22:30,0,617.3871624,1051
2022/10/1 22:45,0,614.336939,1044
2022/10/1 23:00,0,615.1755927,1056
2022/10/1 23:15,0,612.8871578,1058.25
2022/10/1 23:30,0,616.1149731,1056
2022/10/1 23:45,0,607.1967384,1051
2022/10/2 00:00,0,609.5157354,1053.5
2022/10/2 00:15,0,608.396136,1056
2022/10/2 00:30,0,614.9619203,1063
2022/10/2 00:45,0,613.9739573,1060.75
2022/10/2 01:00,0,619.9078352,1051
2022/10/2 01:15,0,618.8869805,1056
2022/10/2 01:30,0,626.9003818,1056
2022/10/2 01:45,0,623.3998726,1058.25
2022/10/2 02:00,0,619.1960528,1053.5
2022/10/2 02:15,0,623.0431915,1056
2022/10/2 02:30,0,631.4956469,1039
2022/10/2 02:45,0,638.5800613,1029.5
2022/10/2 03:00,0,639.0611266,998.25
2022/10/2 03:15,0,631.3617452,988.75
2022/10/2 03:30,0,619.8536584,981.5
2022/10/2 03:45,0,614.1133028,984
2022/10/2 04:00,0,611.0612006,991
2022/10/2 04:15,0,595.1814539,993.5
2022/10/2 04:30,0,600.815488,996
2022/10/2 04:45,0,609.7461915,993.5
2022/10/2 05:00,0,606.8360064,993.5
2022/10/2 05:15,0,599.0667981,991
2022/10/2 05:30,0,593.5022081,986.25
2022/10/2 05:45,0,589.285644,984
2022/10/2 06:00,0.031530798,569.3789473,988.75
2022/10/2 06:15,11.02220744,555.4285263,993.5
2022/10/2 06:30,40.11654431,537.0697878,1005.5
2022/10/2 06:45,81.83890202,554.6169152,1010.25
2022/10/2 07:00,125.1349904,598.6767453,1017.5
2022/10/2 07:15,174.2720912,609.3964355,1024.75
2022/10/2 07:30,228.6241102,608.2996458,1048.75
2022/10/2 07:45,287.5689986,610.6056554,1070.25
2022/10/2 08:00,350.9778502,617.2784088,1077.5
2022/10/2 08:15,413.3440811,641.9352035,1101.5
2022/10/2 08:30,458.1968912,658.8918713,1106.25
2022/10/2 08:45,508.3622799,670.4577654,1111
2022/10/2 09:00,564.6211834,690.3549962,1120.75
2022/10/2 09:15,602.135915,684.8865521,1147
2022/10/2 09:30,648.0556517,691.0753933,1180.75
2022/10/2 09:45,684.7701128,694.3007423,1178.25
2022/10/2 10:00,713.8433855,700.5757135,1188
2022/10/2 10:15,750.4170961,581.1395483,1202.25
2022/10/2 10:30,787.22294,587.9250548,1197.5
2022/10/2 10:45,813.7204414,586.2825013,1202.25
2022/10/2 11:00,835.4657994,584.8922366,1221.5
2022/10/2 11:15,853.2678287,594.1402915,1216.75
2022/10/2 11:30,875.1806524,594.1844923,1207
2022/10/2 11:45,882.9974283,595.7894614,1212
2022/10/2 12:00,876.9968152,599.0263973,1202.25
2022/10/2 12:15,875.6083284,604.1236927,1192.75
2022/10/2 12:30,864.7580171,606.3370277,1125.5
2022/10/2 12:45,830.1140214,604.6770612,1171
2022/10/2 13:00,783.2804892,596.9083463,1180.75
2022/10/2 13:15,767.9466706,591.7237426,1180.75
2022/10/2 13:30,741.1558912,589.3402916,1192.75
2022/10/2 13:45,697.3734924,590.0010956,1228.75
2022/10/2 14:00,649.482005,595.5849384,1264.75
2022/10/2 14:15,606.4175509,609.3420972,1243
2022/10/2 14:30,560.2394683,608.2435693,1248
